#LO PRODUCTION CROSS-SECTIONS FOR VLL (MINIMAL SINGLET MODEL) AT 13 TEV LHC
#PDFs: Madgraph's default PDFs based on NNPDF2.3 set (LHAPDF ID: 247000, SET NAME: NNPDF23_lo_as_0130_qed)
#SCALE: Madgraph's default (dynamic) factorization scale
#MASS (GeV)          p p > taup taup~ (pb)
1.000000e+02         9.109434e-01         
1.100000e+02         6.557855e-01         
1.200000e+02         4.837233e-01         
1.300000e+02         3.676580e-01         
1.400000e+02         2.823872e-01         
1.500000e+02         2.221463e-01         
1.600000e+02         1.760629e-01         
1.700000e+02         1.414580e-01         
1.800000e+02         1.152932e-01         
1.900000e+02         9.476276e-02         
2.000000e+02         7.839079e-02         
2.100000e+02         6.550356e-02         
2.200000e+02         5.503187e-02         
2.300000e+02         4.661827e-02         
2.400000e+02         3.970755e-02         
2.500000e+02         3.397735e-02         
2.600000e+02         2.925765e-02         
2.700000e+02         2.527451e-02         
2.800000e+02         2.193819e-02         
2.900000e+02         1.910682e-02         
3.000000e+02         1.666340e-02         
3.100000e+02         1.464515e-02         
3.200000e+02         1.284829e-02         
3.300000e+02         1.136992e-02         
3.400000e+02         1.004271e-02         
3.500000e+02         8.941294e-03         
3.600000e+02         7.964096e-03         
3.700000e+02         7.096098e-03         
3.800000e+02         6.345785e-03         
3.900000e+02         5.711401e-03         
4.000000e+02         5.096432e-03         
4.100000e+02         4.597337e-03         
4.200000e+02         4.147718e-03         
4.300000e+02         3.740528e-03         
4.400000e+02         3.385792e-03         
4.500000e+02         3.065643e-03         
4.600000e+02         2.787255e-03         
4.700000e+02         2.538824e-03         
4.800000e+02         2.305078e-03         
4.900000e+02         2.100301e-03         
5.000000e+02         1.918749e-03         
5.100000e+02         1.753343e-03         
5.200000e+02         1.604414e-03         
5.300000e+02         1.466483e-03         
5.400000e+02         1.347744e-03         
5.500000e+02         1.237688e-03         
5.600000e+02         1.136352e-03         
5.700000e+02         1.044327e-03         
5.800000e+02         9.662357e-04         
5.900000e+02         8.907835e-04         
6.000000e+02         8.198290e-04         
6.100000e+02         7.568196e-04         
6.200000e+02         6.988457e-04         
6.300000e+02         6.473858e-04         
6.400000e+02         5.997958e-04         
6.500000e+02         5.538789e-04         
6.600000e+02         5.140570e-04         
6.700000e+02         4.772724e-04         
6.800000e+02         4.424573e-04         
6.900000e+02         4.115767e-04         
7.000000e+02         3.822034e-04         
7.100000e+02         3.554790e-04         
7.200000e+02         3.307215e-04         
7.300000e+02         3.085196e-04         
7.400000e+02         2.875355e-04         
7.500000e+02         2.679349e-04         
7.600000e+02         2.500480e-04         
7.700000e+02         2.332565e-04         
7.800000e+02         2.181260e-04         
7.900000e+02         2.041854e-04         
8.000000e+02         1.906960e-04         
8.100000e+02         1.783150e-04         
8.200000e+02         1.665507e-04         
8.300000e+02         1.560399e-04         
8.400000e+02         1.466982e-04         
8.500000e+02         1.369827e-04         
8.600000e+02         1.284608e-04         
8.700000e+02         1.209400e-04         
8.800000e+02         1.130846e-04         
8.900000e+02         1.062796e-04         
9.000000e+02         9.995935e-05         
9.100000e+02         9.388056e-05         
9.200000e+02         8.792175e-05         
9.300000e+02         8.287486e-05         
9.400000e+02         7.790844e-05         
9.500000e+02         7.343416e-05         
9.600000e+02         6.917218e-05         
9.700000e+02         6.500002e-05         
9.800000e+02         6.119537e-05         
9.900000e+02         5.763428e-05         
1.000000e+03         5.431165e-05         
